date,name,category,value
2020-01-22,Anhui,Anhui,1
2020-01-23,Anhui,Anhui,9
2020-01-24,Anhui,Anhui,15
2020-01-25,Anhui,Anhui,39
2020-01-26,Anhui,Anhui,60
2020-01-27,Anhui,Anhui,70
2020-01-28,Anhui,Anhui,106
2020-01-29,Anhui,Anhui,152
2020-01-30,Anhui,Anhui,200
2020-01-31,Anhui,Anhui,237
2020-02-01,Anhui,Anhui,297
2020-02-02,Anhui,Anhui,340
2020-02-03,Anhui,Anhui,408
2020-02-04,Anhui,Anhui,480
2020-02-05,Anhui,Anhui,530
2020-02-06,Anhui,Anhui,591
2020-02-07,Anhui,Anhui,665
2020-02-08,Anhui,Anhui,733
2020-02-09,Anhui,Anhui,779
2020-02-10,Anhui,Anhui,830
2020-02-11,Anhui,Anhui,860
2020-02-12,Anhui,Anhui,889
2020-02-13,Anhui,Anhui,910
2020-02-14,Anhui,Anhui,934
2020-02-15,Anhui,Anhui,950
2020-02-16,Anhui,Anhui,962
2020-02-17,Anhui,Anhui,973
2020-02-18,Anhui,Anhui,982
2020-02-19,Anhui,Anhui,986
2020-02-20,Anhui,Anhui,987
2020-02-21,Anhui,Anhui,988
2020-02-22,Anhui,Anhui,989
2020-02-23,Anhui,Anhui,989
2020-02-24,Anhui,Anhui,989
2020-02-25,Anhui,Anhui,989
2020-02-26,Anhui,Anhui,989
2020-02-27,Anhui,Anhui,989
2020-02-28,Anhui,Anhui,990
2020-02-29,Anhui,Anhui,990
2020-03-01,Anhui,Anhui,990
2020-03-02,Anhui,Anhui,990
2020-03-03,Anhui,Anhui,990
2020-03-04,Anhui,Anhui,990
2020-03-05,Anhui,Anhui,990
2020-03-06,Anhui,Anhui,990
2020-03-07,Anhui,Anhui,990
2020-03-08,Anhui,Anhui,990
2020-03-09,Anhui,Anhui,990
2020-03-10,Anhui,Anhui,990
2020-03-11,Anhui,Anhui,990
2020-03-12,Anhui,Anhui,990
2020-01-22,Beijing,Beijing,14
2020-01-23,Beijing,Beijing,22
2020-01-24,Beijing,Beijing,36
2020-01-25,Beijing,Beijing,41
2020-01-26,Beijing,Beijing,68
2020-01-27,Beijing,Beijing,80
2020-01-28,Beijing,Beijing,91
2020-01-29,Beijing,Beijing,111
2020-01-30,Beijing,Beijing,114
2020-01-31,Beijing,Beijing,139
2020-02-01,Beijing,Beijing,168
2020-02-02,Beijing,Beijing,191
2020-02-03,Beijing,Beijing,212
2020-02-04,Beijing,Beijing,228
2020-02-05,Beijing,Beijing,253
2020-02-06,Beijing,Beijing,274
2020-02-07,Beijing,Beijing,297
2020-02-08,Beijing,Beijing,315
2020-02-09,Beijing,Beijing,326
2020-02-10,Beijing,Beijing,337
2020-02-11,Beijing,Beijing,342
2020-02-12,Beijing,Beijing,352
2020-02-13,Beijing,Beijing,366
2020-02-14,Beijing,Beijing,372
2020-02-15,Beijing,Beijing,375
2020-02-16,Beijing,Beijing,380
2020-02-17,Beijing,Beijing,381
2020-02-18,Beijing,Beijing,387
2020-02-19,Beijing,Beijing,393
2020-02-20,Beijing,Beijing,395
2020-02-21,Beijing,Beijing,396
2020-02-22,Beijing,Beijing,399
2020-02-23,Beijing,Beijing,399
2020-02-24,Beijing,Beijing,399
2020-02-25,Beijing,Beijing,400
2020-02-26,Beijing,Beijing,400
2020-02-27,Beijing,Beijing,410
2020-02-28,Beijing,Beijing,410
2020-02-29,Beijing,Beijing,411
2020-03-01,Beijing,Beijing,413
2020-03-02,Beijing,Beijing,414
2020-03-03,Beijing,Beijing,414
2020-03-04,Beijing,Beijing,418
2020-03-05,Beijing,Beijing,418
2020-03-06,Beijing,Beijing,422
2020-03-07,Beijing,Beijing,426
2020-03-08,Beijing,Beijing,428
2020-03-09,Beijing,Beijing,428
2020-03-10,Beijing,Beijing,429
2020-03-11,Beijing,Beijing,435
2020-03-12,Beijing,Beijing,435
2020-01-22,Chongqing,Chongqing,6
2020-01-23,Chongqing,Chongqing,9
2020-01-24,Chongqing,Chongqing,27
2020-01-25,Chongqing,Chongqing,57
2020-01-26,Chongqing,Chongqing,75
2020-01-27,Chongqing,Chongqing,110
2020-01-28,Chongqing,Chongqing,132
2020-01-29,Chongqing,Chongqing,147
2020-01-30,Chongqing,Chongqing,182
2020-01-31,Chongqing,Chongqing,211
2020-02-01,Chongqing,Chongqing,247
2020-02-02,Chongqing,Chongqing,300
2020-02-03,Chongqing,Chongqing,337
2020-02-04,Chongqing,Chongqing,366
2020-02-05,Chongqing,Chongqing,389
2020-02-06,Chongqing,Chongqing,411
2020-02-07,Chongqing,Chongqing,426
2020-02-08,Chongqing,Chongqing,428
2020-02-09,Chongqing,Chongqing,468
2020-02-10,Chongqing,Chongqing,486
2020-02-11,Chongqing,Chongqing,505
2020-02-12,Chongqing,Chongqing,518
2020-02-13,Chongqing,Chongqing,529
2020-02-14,Chongqing,Chongqing,537
2020-02-15,Chongqing,Chongqing,544
2020-02-16,Chongqing,Chongqing,551
2020-02-17,Chongqing,Chongqing,553
2020-02-18,Chongqing,Chongqing,555
2020-02-19,Chongqing,Chongqing,560
2020-02-20,Chongqing,Chongqing,567
2020-02-21,Chongqing,Chongqing,572
2020-02-22,Chongqing,Chongqing,573
2020-02-23,Chongqing,Chongqing,575
2020-02-24,Chongqing,Chongqing,576
2020-02-25,Chongqing,Chongqing,576
2020-02-26,Chongqing,Chongqing,576
2020-02-27,Chongqing,Chongqing,576
2020-02-28,Chongqing,Chongqing,576
2020-02-29,Chongqing,Chongqing,576
2020-03-01,Chongqing,Chongqing,576
2020-03-02,Chongqing,Chongqing,576
2020-03-03,Chongqing,Chongqing,576
2020-03-04,Chongqing,Chongqing,576
2020-03-05,Chongqing,Chongqing,576
2020-03-06,Chongqing,Chongqing,576
2020-03-07,Chongqing,Chongqing,576
2020-03-08,Chongqing,Chongqing,576
2020-03-09,Chongqing,Chongqing,576
2020-03-10,Chongqing,Chongqing,576
2020-03-11,Chongqing,Chongqing,576
2020-03-12,Chongqing,Chongqing,576
2020-01-22,Fujian,Fujian,1
2020-01-23,Fujian,Fujian,5
2020-01-24,Fujian,Fujian,10
2020-01-25,Fujian,Fujian,18
2020-01-26,Fujian,Fujian,35
2020-01-27,Fujian,Fujian,59
2020-01-28,Fujian,Fujian,80
2020-01-29,Fujian,Fujian,84
2020-01-30,Fujian,Fujian,101
2020-01-31,Fujian,Fujian,120
2020-02-01,Fujian,Fujian,144
2020-02-02,Fujian,Fujian,159
2020-02-03,Fujian,Fujian,179
2020-02-04,Fujian,Fujian,194
2020-02-05,Fujian,Fujian,205
2020-02-06,Fujian,Fujian,215
2020-02-07,Fujian,Fujian,224
2020-02-08,Fujian,Fujian,239
2020-02-09,Fujian,Fujian,250
2020-02-10,Fujian,Fujian,261
2020-02-11,Fujian,Fujian,267
2020-02-12,Fujian,Fujian,272
2020-02-13,Fujian,Fujian,279
2020-02-14,Fujian,Fujian,281
2020-02-15,Fujian,Fujian,285
2020-02-16,Fujian,Fujian,287
2020-02-17,Fujian,Fujian,290
2020-02-18,Fujian,Fujian,292
2020-02-19,Fujian,Fujian,293
2020-02-20,Fujian,Fujian,293
2020-02-21,Fujian,Fujian,293
2020-02-22,Fujian,Fujian,293
2020-02-23,Fujian,Fujian,293
2020-02-24,Fujian,Fujian,293
2020-02-25,Fujian,Fujian,294
2020-02-26,Fujian,Fujian,294
2020-02-27,Fujian,Fujian,296
2020-02-28,Fujian,Fujian,296
2020-02-29,Fujian,Fujian,296
2020-03-01,Fujian,Fujian,296
2020-03-02,Fujian,Fujian,296
2020-03-03,Fujian,Fujian,296
2020-03-04,Fujian,Fujian,296
2020-03-05,Fujian,Fujian,296
2020-03-06,Fujian,Fujian,296
2020-03-07,Fujian,Fujian,296
2020-03-08,Fujian,Fujian,296
2020-03-09,Fujian,Fujian,296
2020-03-10,Fujian,Fujian,296
2020-03-11,Fujian,Fujian,296
2020-03-12,Fujian,Fujian,296
2020-01-22,Gansu,Gansu,0
2020-01-23,Gansu,Gansu,2
2020-01-24,Gansu,Gansu,2
2020-01-25,Gansu,Gansu,4
2020-01-26,Gansu,Gansu,7
2020-01-27,Gansu,Gansu,14
2020-01-28,Gansu,Gansu,19
2020-01-29,Gansu,Gansu,24
2020-01-30,Gansu,Gansu,26
2020-01-31,Gansu,Gansu,29
2020-02-01,Gansu,Gansu,40
2020-02-02,Gansu,Gansu,51
2020-02-03,Gansu,Gansu,55
2020-02-04,Gansu,Gansu,57
2020-02-05,Gansu,Gansu,62
2020-02-06,Gansu,Gansu,62
2020-02-07,Gansu,Gansu,67
2020-02-08,Gansu,Gansu,79
2020-02-09,Gansu,Gansu,83
2020-02-10,Gansu,Gansu,83
2020-02-11,Gansu,Gansu,86
2020-02-12,Gansu,Gansu,87
2020-02-13,Gansu,Gansu,90
2020-02-14,Gansu,Gansu,90
2020-02-15,Gansu,Gansu,90
2020-02-16,Gansu,Gansu,90
2020-02-17,Gansu,Gansu,91
2020-02-18,Gansu,Gansu,91
2020-02-19,Gansu,Gansu,91
2020-02-20,Gansu,Gansu,91
2020-02-21,Gansu,Gansu,91
2020-02-22,Gansu,Gansu,91
2020-02-23,Gansu,Gansu,91
2020-02-24,Gansu,Gansu,91
2020-02-25,Gansu,Gansu,91
2020-02-26,Gansu,Gansu,91
2020-02-27,Gansu,Gansu,91
2020-02-28,Gansu,Gansu,91
2020-02-29,Gansu,Gansu,91
2020-03-01,Gansu,Gansu,91
2020-03-02,Gansu,Gansu,91
2020-03-03,Gansu,Gansu,91
2020-03-04,Gansu,Gansu,91
2020-03-05,Gansu,Gansu,102
2020-03-06,Gansu,Gansu,119
2020-03-07,Gansu,Gansu,120
2020-03-08,Gansu,Gansu,124
2020-03-09,Gansu,Gansu,124
2020-03-10,Gansu,Gansu,125
2020-03-11,Gansu,Gansu,127
2020-03-12,Gansu,Gansu,127
2020-01-22,Guangdong,Guangdong,26
2020-01-23,Guangdong,Guangdong,32
2020-01-24,Guangdong,Guangdong,53
2020-01-25,Guangdong,Guangdong,78
2020-01-26,Guangdong,Guangdong,111
2020-01-27,Guangdong,Guangdong,151
2020-01-28,Guangdong,Guangdong,207
2020-01-29,Guangdong,Guangdong,277
2020-01-30,Guangdong,Guangdong,354
2020-01-31,Guangdong,Guangdong,436
2020-02-01,Guangdong,Guangdong,535
2020-02-02,Guangdong,Guangdong,632
2020-02-03,Guangdong,Guangdong,725
2020-02-04,Guangdong,Guangdong,813
2020-02-05,Guangdong,Guangdong,895
2020-02-06,Guangdong,Guangdong,970
2020-02-07,Guangdong,Guangdong,1034
2020-02-08,Guangdong,Guangdong,1095
2020-02-09,Guangdong,Guangdong,1131
2020-02-10,Guangdong,Guangdong,1159
2020-02-11,Guangdong,Guangdong,1177
2020-02-12,Guangdong,Guangdong,1219
2020-02-13,Guangdong,Guangdong,1241
2020-02-14,Guangdong,Guangdong,1261
2020-02-15,Guangdong,Guangdong,1294
2020-02-16,Guangdong,Guangdong,1316
2020-02-17,Guangdong,Guangdong,1322
2020-02-18,Guangdong,Guangdong,1328
2020-02-19,Guangdong,Guangdong,1331
2020-02-20,Guangdong,Guangdong,1332
2020-02-21,Guangdong,Guangdong,1333
2020-02-22,Guangdong,Guangdong,1339
2020-02-23,Guangdong,Guangdong,1342
2020-02-24,Guangdong,Guangdong,1345
2020-02-25,Guangdong,Guangdong,1347
2020-02-26,Guangdong,Guangdong,1347
2020-02-27,Guangdong,Guangdong,1347
2020-02-28,Guangdong,Guangdong,1348
2020-02-29,Guangdong,Guangdong,1349
2020-03-01,Guangdong,Guangdong,1349
2020-03-02,Guangdong,Guangdong,1350
2020-03-03,Guangdong,Guangdong,1350
2020-03-04,Guangdong,Guangdong,1350
2020-03-05,Guangdong,Guangdong,1351
2020-03-06,Guangdong,Guangdong,1352
2020-03-07,Guangdong,Guangdong,1352
2020-03-08,Guangdong,Guangdong,1352
2020-03-09,Guangdong,Guangdong,1352
2020-03-10,Guangdong,Guangdong,1353
2020-03-11,Guangdong,Guangdong,1356
2020-03-12,Guangdong,Guangdong,1356
2020-01-22,Guangxi,Guangxi,2
2020-01-23,Guangxi,Guangxi,5
2020-01-24,Guangxi,Guangxi,23
2020-01-25,Guangxi,Guangxi,23
2020-01-26,Guangxi,Guangxi,36
2020-01-27,Guangxi,Guangxi,46
2020-01-28,Guangxi,Guangxi,51
2020-01-29,Guangxi,Guangxi,58
2020-01-30,Guangxi,Guangxi,78
2020-01-31,Guangxi,Guangxi,87
2020-02-01,Guangxi,Guangxi,100
2020-02-02,Guangxi,Guangxi,111
2020-02-03,Guangxi,Guangxi,127
2020-02-04,Guangxi,Guangxi,139
2020-02-05,Guangxi,Guangxi,150
2020-02-06,Guangxi,Guangxi,168
2020-02-07,Guangxi,Guangxi,172
2020-02-08,Guangxi,Guangxi,183
2020-02-09,Guangxi,Guangxi,195
2020-02-10,Guangxi,Guangxi,210
2020-02-11,Guangxi,Guangxi,215
2020-02-12,Guangxi,Guangxi,222
2020-02-13,Guangxi,Guangxi,222
2020-02-14,Guangxi,Guangxi,226
2020-02-15,Guangxi,Guangxi,235
2020-02-16,Guangxi,Guangxi,237
2020-02-17,Guangxi,Guangxi,238
2020-02-18,Guangxi,Guangxi,242
2020-02-19,Guangxi,Guangxi,244
2020-02-20,Guangxi,Guangxi,245
2020-02-21,Guangxi,Guangxi,246
2020-02-22,Guangxi,Guangxi,249
2020-02-23,Guangxi,Guangxi,249
2020-02-24,Guangxi,Guangxi,251
2020-02-25,Guangxi,Guangxi,252
2020-02-26,Guangxi,Guangxi,252
2020-02-27,Guangxi,Guangxi,252
2020-02-28,Guangxi,Guangxi,252
2020-02-29,Guangxi,Guangxi,252
2020-03-01,Guangxi,Guangxi,252
2020-03-02,Guangxi,Guangxi,252
2020-03-03,Guangxi,Guangxi,252
2020-03-04,Guangxi,Guangxi,252
2020-03-05,Guangxi,Guangxi,252
2020-03-06,Guangxi,Guangxi,252
2020-03-07,Guangxi,Guangxi,252
2020-03-08,Guangxi,Guangxi,252
2020-03-09,Guangxi,Guangxi,252
2020-03-10,Guangxi,Guangxi,252
2020-03-11,Guangxi,Guangxi,252
2020-03-12,Guangxi,Guangxi,252
2020-01-22,Guizhou,Guizhou,1
2020-01-23,Guizhou,Guizhou,3
2020-01-24,Guizhou,Guizhou,3
2020-01-25,Guizhou,Guizhou,4
2020-01-26,Guizhou,Guizhou,5
2020-01-27,Guizhou,Guizhou,7
2020-01-28,Guizhou,Guizhou,9
2020-01-29,Guizhou,Guizhou,9
2020-01-30,Guizhou,Guizhou,12
2020-01-31,Guizhou,Guizhou,29
2020-02-01,Guizhou,Guizhou,29
2020-02-02,Guizhou,Guizhou,38
2020-02-03,Guizhou,Guizhou,46
2020-02-04,Guizhou,Guizhou,58
2020-02-05,Guizhou,Guizhou,64
2020-02-06,Guizhou,Guizhou,71
2020-02-07,Guizhou,Guizhou,81
2020-02-08,Guizhou,Guizhou,89
2020-02-09,Guizhou,Guizhou,99
2020-02-10,Guizhou,Guizhou,109
2020-02-11,Guizhou,Guizhou,127
2020-02-12,Guizhou,Guizhou,133
2020-02-13,Guizhou,Guizhou,135
2020-02-14,Guizhou,Guizhou,140
2020-02-15,Guizhou,Guizhou,143
2020-02-16,Guizhou,Guizhou,144
2020-02-17,Guizhou,Guizhou,146
2020-02-18,Guizhou,Guizhou,146
2020-02-19,Guizhou,Guizhou,146
2020-02-20,Guizhou,Guizhou,146
2020-02-21,Guizhou,Guizhou,146
2020-02-22,Guizhou,Guizhou,146
2020-02-23,Guizhou,Guizhou,146
2020-02-24,Guizhou,Guizhou,146
2020-02-25,Guizhou,Guizhou,146
2020-02-26,Guizhou,Guizhou,146
2020-02-27,Guizhou,Guizhou,146
2020-02-28,Guizhou,Guizhou,146
2020-02-29,Guizhou,Guizhou,146
2020-03-01,Guizhou,Guizhou,146
2020-03-02,Guizhou,Guizhou,146
2020-03-03,Guizhou,Guizhou,146
2020-03-04,Guizhou,Guizhou,146
2020-03-05,Guizhou,Guizhou,146
2020-03-06,Guizhou,Guizhou,146
2020-03-07,Guizhou,Guizhou,146
2020-03-08,Guizhou,Guizhou,146
2020-03-09,Guizhou,Guizhou,146
2020-03-10,Guizhou,Guizhou,146
2020-03-11,Guizhou,Guizhou,146
2020-03-12,Guizhou,Guizhou,146
2020-01-22,Hainan,Hainan,4
2020-01-23,Hainan,Hainan,5
2020-01-24,Hainan,Hainan,8
2020-01-25,Hainan,Hainan,19
2020-01-26,Hainan,Hainan,22
2020-01-27,Hainan,Hainan,33
2020-01-28,Hainan,Hainan,40
2020-01-29,Hainan,Hainan,43
2020-01-30,Hainan,Hainan,46
2020-01-31,Hainan,Hainan,52
2020-02-01,Hainan,Hainan,62
2020-02-02,Hainan,Hainan,64
2020-02-03,Hainan,Hainan,72
2020-02-04,Hainan,Hainan,80
2020-02-05,Hainan,Hainan,99
2020-02-06,Hainan,Hainan,106
2020-02-07,Hainan,Hainan,117
2020-02-08,Hainan,Hainan,124
2020-02-09,Hainan,Hainan,131
2020-02-10,Hainan,Hainan,138
2020-02-11,Hainan,Hainan,144
2020-02-12,Hainan,Hainan,157
2020-02-13,Hainan,Hainan,157
2020-02-14,Hainan,Hainan,159
2020-02-15,Hainan,Hainan,162
2020-02-16,Hainan,Hainan,162
2020-02-17,Hainan,Hainan,163
2020-02-18,Hainan,Hainan,163
2020-02-19,Hainan,Hainan,168
2020-02-20,Hainan,Hainan,168
2020-02-21,Hainan,Hainan,168
2020-02-22,Hainan,Hainan,168
2020-02-23,Hainan,Hainan,168
2020-02-24,Hainan,Hainan,168
2020-02-25,Hainan,Hainan,168
2020-02-26,Hainan,Hainan,168
2020-02-27,Hainan,Hainan,168
2020-02-28,Hainan,Hainan,168
2020-02-29,Hainan,Hainan,168
2020-03-01,Hainan,Hainan,168
2020-03-02,Hainan,Hainan,168
2020-03-03,Hainan,Hainan,168
2020-03-04,Hainan,Hainan,168
2020-03-05,Hainan,Hainan,168
2020-03-06,Hainan,Hainan,168
2020-03-07,Hainan,Hainan,168
2020-03-08,Hainan,Hainan,168
2020-03-09,Hainan,Hainan,168
2020-03-10,Hainan,Hainan,168
2020-03-11,Hainan,Hainan,168
2020-03-12,Hainan,Hainan,168
2020-01-22,Hebei,Hebei,1
2020-01-23,Hebei,Hebei,1
2020-01-24,Hebei,Hebei,2
2020-01-25,Hebei,Hebei,8
2020-01-26,Hebei,Hebei,13
2020-01-27,Hebei,Hebei,18
2020-01-28,Hebei,Hebei,33
2020-01-29,Hebei,Hebei,48
2020-01-30,Hebei,Hebei,65
2020-01-31,Hebei,Hebei,82
2020-02-01,Hebei,Hebei,96
2020-02-02,Hebei,Hebei,104
2020-02-03,Hebei,Hebei,113
2020-02-04,Hebei,Hebei,126
2020-02-05,Hebei,Hebei,135
2020-02-06,Hebei,Hebei,157
2020-02-07,Hebei,Hebei,172
2020-02-08,Hebei,Hebei,195
2020-02-09,Hebei,Hebei,206
2020-02-10,Hebei,Hebei,218
2020-02-11,Hebei,Hebei,239
2020-02-12,Hebei,Hebei,251
2020-02-13,Hebei,Hebei,265
2020-02-14,Hebei,Hebei,283
2020-02-15,Hebei,Hebei,291
2020-02-16,Hebei,Hebei,300
2020-02-17,Hebei,Hebei,301
2020-02-18,Hebei,Hebei,306
2020-02-19,Hebei,Hebei,306
2020-02-20,Hebei,Hebei,307
2020-02-21,Hebei,Hebei,308
2020-02-22,Hebei,Hebei,309
2020-02-23,Hebei,Hebei,311
2020-02-24,Hebei,Hebei,311
2020-02-25,Hebei,Hebei,311
2020-02-26,Hebei,Hebei,312
2020-02-27,Hebei,Hebei,317
2020-02-28,Hebei,Hebei,318
2020-02-29,Hebei,Hebei,318
2020-03-01,Hebei,Hebei,318
2020-03-02,Hebei,Hebei,318
2020-03-03,Hebei,Hebei,318
2020-03-04,Hebei,Hebei,318
2020-03-05,Hebei,Hebei,318
2020-03-06,Hebei,Hebei,318
2020-03-07,Hebei,Hebei,318
2020-03-08,Hebei,Hebei,318
2020-03-09,Hebei,Hebei,318
2020-03-10,Hebei,Hebei,318
2020-03-11,Hebei,Hebei,318
2020-03-12,Hebei,Hebei,318
2020-01-22,Heilongjiang,Heilongjiang,0
2020-01-23,Heilongjiang,Heilongjiang,2
2020-01-24,Heilongjiang,Heilongjiang,4
2020-01-25,Heilongjiang,Heilongjiang,9
2020-01-26,Heilongjiang,Heilongjiang,15
2020-01-27,Heilongjiang,Heilongjiang,21
2020-01-28,Heilongjiang,Heilongjiang,33
2020-01-29,Heilongjiang,Heilongjiang,38
