date,name,category,value
2020-01-22,Alaska,Alaska,0
2020-01-23,Alaska,Alaska,0
2020-01-24,Alaska,Alaska,0
2020-01-25,Alaska,Alaska,0
2020-01-26,Alaska,Alaska,0
2020-01-27,Alaska,Alaska,0
2020-01-28,Alaska,Alaska,0
2020-01-29,Alaska,Alaska,0
2020-01-30,Alaska,Alaska,0
2020-01-31,Alaska,Alaska,0
2020-02-01,Alaska,Alaska,0
2020-02-02,Alaska,Alaska,0
2020-02-03,Alaska,Alaska,0
2020-02-04,Alaska,Alaska,0
2020-02-05,Alaska,Alaska,0
2020-02-06,Alaska,Alaska,0
2020-02-07,Alaska,Alaska,0
2020-02-08,Alaska,Alaska,0
2020-02-09,Alaska,Alaska,0
2020-02-10,Alaska,Alaska,0
2020-02-11,Alaska,Alaska,0
2020-02-12,Alaska,Alaska,0
2020-02-13,Alaska,Alaska,0
2020-02-14,Alaska,Alaska,0
2020-02-15,Alaska,Alaska,0
2020-02-16,Alaska,Alaska,0
2020-02-17,Alaska,Alaska,0
2020-02-18,Alaska,Alaska,0
2020-02-19,Alaska,Alaska,0
2020-02-20,Alaska,Alaska,0
2020-02-21,Alaska,Alaska,0
2020-02-22,Alaska,Alaska,0
2020-02-23,Alaska,Alaska,0
2020-02-24,Alaska,Alaska,0
2020-02-25,Alaska,Alaska,0
2020-02-26,Alaska,Alaska,0
2020-02-27,Alaska,Alaska,0
2020-02-28,Alaska,Alaska,0
2020-02-29,Alaska,Alaska,0
2020-03-01,Alaska,Alaska,0
2020-03-02,Alaska,Alaska,0
2020-03-03,Alaska,Alaska,0
2020-03-04,Alaska,Alaska,0
2020-03-05,Alaska,Alaska,0
2020-03-06,Alaska,Alaska,0
2020-03-07,Alaska,Alaska,0
2020-03-08,Alaska,Alaska,0
2020-03-09,Alaska,Alaska,0
2020-03-10,Alaska,Alaska,0
2020-03-11,Alaska,Alaska,0
2020-03-12,Alaska,Alaska,0
2020-01-22,Arizona,Arizona,0
2020-01-23,Arizona,Arizona,0
2020-01-24,Arizona,Arizona,0
2020-01-25,Arizona,Arizona,0
2020-01-26,Arizona,Arizona,1
2020-01-27,Arizona,Arizona,1
2020-01-28,Arizona,Arizona,1
2020-01-29,Arizona,Arizona,1
2020-01-30,Arizona,Arizona,1
2020-01-31,Arizona,Arizona,1
2020-02-01,Arizona,Arizona,1
2020-02-02,Arizona,Arizona,1
2020-02-03,Arizona,Arizona,1
2020-02-04,Arizona,Arizona,1
2020-02-05,Arizona,Arizona,1
2020-02-06,Arizona,Arizona,1
2020-02-07,Arizona,Arizona,1
2020-02-08,Arizona,Arizona,1
2020-02-09,Arizona,Arizona,1
2020-02-10,Arizona,Arizona,1
2020-02-11,Arizona,Arizona,1
2020-02-12,Arizona,Arizona,1
2020-02-13,Arizona,Arizona,1
2020-02-14,Arizona,Arizona,1
2020-02-15,Arizona,Arizona,1
2020-02-16,Arizona,Arizona,1
2020-02-17,Arizona,Arizona,1
2020-02-18,Arizona,Arizona,1
2020-02-19,Arizona,Arizona,1
2020-02-20,Arizona,Arizona,1
2020-02-21,Arizona,Arizona,1
2020-02-22,Arizona,Arizona,1
2020-02-23,Arizona,Arizona,1
2020-02-24,Arizona,Arizona,1
2020-02-25,Arizona,Arizona,1
2020-02-26,Arizona,Arizona,1
2020-02-27,Arizona,Arizona,1
2020-02-28,Arizona,Arizona,1
2020-02-29,Arizona,Arizona,1
2020-03-01,Arizona,Arizona,1
2020-03-02,Arizona,Arizona,1
2020-03-03,Arizona,Arizona,1
2020-03-04,Arizona,Arizona,1
2020-03-05,Arizona,Arizona,1
2020-03-06,Arizona,Arizona,2
2020-03-07,Arizona,Arizona,4
2020-03-08,Arizona,Arizona,4
2020-03-09,Arizona,Arizona,4
2020-03-10,Arizona,Arizona,6
2020-03-11,Arizona,Arizona,9
2020-03-12,Arizona,Arizona,9
2020-01-22,Arkansas,Arkansas,0
2020-01-23,Arkansas,Arkansas,0
2020-01-24,Arkansas,Arkansas,0
2020-01-25,Arkansas,Arkansas,0
2020-01-26,Arkansas,Arkansas,0
2020-01-27,Arkansas,Arkansas,0
2020-01-28,Arkansas,Arkansas,0
2020-01-29,Arkansas,Arkansas,0
2020-01-30,Arkansas,Arkansas,0
2020-01-31,Arkansas,Arkansas,0
2020-02-01,Arkansas,Arkansas,0
2020-02-02,Arkansas,Arkansas,0
2020-02-03,Arkansas,Arkansas,0
2020-02-04,Arkansas,Arkansas,0
2020-02-05,Arkansas,Arkansas,0
2020-02-06,Arkansas,Arkansas,0
2020-02-07,Arkansas,Arkansas,0
2020-02-08,Arkansas,Arkansas,0
2020-02-09,Arkansas,Arkansas,0
2020-02-10,Arkansas,Arkansas,0
2020-02-11,Arkansas,Arkansas,0
2020-02-12,Arkansas,Arkansas,0
2020-02-13,Arkansas,Arkansas,0
2020-02-14,Arkansas,Arkansas,0
2020-02-15,Arkansas,Arkansas,0
2020-02-16,Arkansas,Arkansas,0
2020-02-17,Arkansas,Arkansas,0
2020-02-18,Arkansas,Arkansas,0
2020-02-19,Arkansas,Arkansas,0
2020-02-20,Arkansas,Arkansas,0
2020-02-21,Arkansas,Arkansas,0
2020-02-22,Arkansas,Arkansas,0
2020-02-23,Arkansas,Arkansas,0
2020-02-24,Arkansas,Arkansas,0
2020-02-25,Arkansas,Arkansas,0
2020-02-26,Arkansas,Arkansas,0
2020-02-27,Arkansas,Arkansas,0
2020-02-28,Arkansas,Arkansas,0
2020-02-29,Arkansas,Arkansas,0
2020-03-01,Arkansas,Arkansas,0
2020-03-02,Arkansas,Arkansas,0
2020-03-03,Arkansas,Arkansas,0
2020-03-04,Arkansas,Arkansas,0
2020-03-05,Arkansas,Arkansas,0
2020-03-06,Arkansas,Arkansas,0
2020-03-07,Arkansas,Arkansas,0
2020-03-08,Arkansas,Arkansas,0
2020-03-09,Arkansas,Arkansas,0
2020-03-10,Arkansas,Arkansas,0
2020-03-11,Arkansas,Arkansas,1
2020-03-12,Arkansas,Arkansas,6
2020-01-22,California,California,0
2020-01-23,California,California,0
2020-01-24,California,California,0
2020-01-25,California,California,0
2020-01-26,California,California,2
2020-01-27,California,California,2
2020-01-28,California,California,2
2020-01-29,California,California,2
2020-01-30,California,California,2
2020-01-31,California,California,3
2020-02-01,California,California,3
2020-02-02,California,California,3
2020-02-03,California,California,6
2020-02-04,California,California,6
2020-02-05,California,California,6
2020-02-06,California,California,6
2020-02-07,California,California,6
2020-02-08,California,California,6
2020-02-09,California,California,6
2020-02-10,California,California,6
2020-02-11,California,California,7
2020-02-12,California,California,7
2020-02-13,California,California,8
2020-02-14,California,California,8
2020-02-15,California,California,8
2020-02-16,California,California,8
2020-02-17,California,California,8
2020-02-18,California,California,8
2020-02-19,California,California,8
2020-02-20,California,California,8
2020-02-21,California,California,10
2020-02-22,California,California,10
2020-02-23,California,California,10
2020-02-24,California,California,10
2020-02-25,California,California,10
2020-02-26,California,California,10
2020-02-27,California,California,11
2020-02-28,California,California,11
2020-02-29,California,California,12
2020-03-01,California,California,12
2020-03-02,California,California,21
2020-03-03,California,California,25
2020-03-04,California,California,35
2020-03-05,California,California,51
2020-03-06,California,California,59
2020-03-07,California,California,81
2020-03-08,California,California,95
2020-03-09,California,California,101
2020-03-10,California,California,144
2020-03-11,California,California,177
2020-03-12,California,California,221
2020-01-22,Colorado,Colorado,0
2020-01-23,Colorado,Colorado,0
2020-01-24,Colorado,Colorado,0
2020-01-25,Colorado,Colorado,0
2020-01-26,Colorado,Colorado,0
2020-01-27,Colorado,Colorado,0
2020-01-28,Colorado,Colorado,0
2020-01-29,Colorado,Colorado,0
2020-01-30,Colorado,Colorado,0
2020-01-31,Colorado,Colorado,0
2020-02-01,Colorado,Colorado,0
2020-02-02,Colorado,Colorado,0
2020-02-03,Colorado,Colorado,0
2020-02-04,Colorado,Colorado,0
2020-02-05,Colorado,Colorado,0
2020-02-06,Colorado,Colorado,0
2020-02-07,Colorado,Colorado,0
2020-02-08,Colorado,Colorado,0
2020-02-09,Colorado,Colorado,0
2020-02-10,Colorado,Colorado,0
2020-02-11,Colorado,Colorado,0
2020-02-12,Colorado,Colorado,0
2020-02-13,Colorado,Colorado,0
2020-02-14,Colorado,Colorado,0
2020-02-15,Colorado,Colorado,0
2020-02-16,Colorado,Colorado,0
2020-02-17,Colorado,Colorado,0
2020-02-18,Colorado,Colorado,0
2020-02-19,Colorado,Colorado,0
2020-02-20,Colorado,Colorado,0
2020-02-21,Colorado,Colorado,0
2020-02-22,Colorado,Colorado,0
2020-02-23,Colorado,Colorado,0
2020-02-24,Colorado,Colorado,0
2020-02-25,Colorado,Colorado,0
2020-02-26,Colorado,Colorado,0
2020-02-27,Colorado,Colorado,0
2020-02-28,Colorado,Colorado,0
2020-02-29,Colorado,Colorado,0
2020-03-01,Colorado,Colorado,0
2020-03-02,Colorado,Colorado,0
2020-03-03,Colorado,Colorado,0
2020-03-04,Colorado,Colorado,0
2020-03-05,Colorado,Colorado,0
2020-03-06,Colorado,Colorado,3
2020-03-07,Colorado,Colorado,7
2020-03-08,Colorado,Colorado,7
2020-03-09,Colorado,Colorado,7
2020-03-10,Colorado,Colorado,15
2020-03-11,Colorado,Colorado,34
2020-03-12,Colorado,Colorado,45
2020-01-22,Connecticut,Connecticut,0
2020-01-23,Connecticut,Connecticut,0
2020-01-24,Connecticut,Connecticut,0
2020-01-25,Connecticut,Connecticut,0
2020-01-26,Connecticut,Connecticut,0
2020-01-27,Connecticut,Connecticut,0
2020-01-28,Connecticut,Connecticut,0
2020-01-29,Connecticut,Connecticut,0
2020-01-30,Connecticut,Connecticut,0
2020-01-31,Connecticut,Connecticut,0
2020-02-01,Connecticut,Connecticut,0
2020-02-02,Connecticut,Connecticut,0
2020-02-03,Connecticut,Connecticut,0
2020-02-04,Connecticut,Connecticut,0
2020-02-05,Connecticut,Connecticut,0
2020-02-06,Connecticut,Connecticut,0
2020-02-07,Connecticut,Connecticut,0
2020-02-08,Connecticut,Connecticut,0
2020-02-09,Connecticut,Connecticut,0
2020-02-10,Connecticut,Connecticut,0
2020-02-11,Connecticut,Connecticut,0
2020-02-12,Connecticut,Connecticut,0
2020-02-13,Connecticut,Connecticut,0
2020-02-14,Connecticut,Connecticut,0
2020-02-15,Connecticut,Connecticut,0
2020-02-16,Connecticut,Connecticut,0
2020-02-17,Connecticut,Connecticut,0
2020-02-18,Connecticut,Connecticut,0
2020-02-19,Connecticut,Connecticut,0
2020-02-20,Connecticut,Connecticut,0
2020-02-21,Connecticut,Connecticut,0
2020-02-22,Connecticut,Connecticut,0
2020-02-23,Connecticut,Connecticut,0
2020-02-24,Connecticut,Connecticut,0
2020-02-25,Connecticut,Connecticut,0
2020-02-26,Connecticut,Connecticut,0
2020-02-27,Connecticut,Connecticut,0
2020-02-28,Connecticut,Connecticut,0
2020-02-29,Connecticut,Connecticut,0
2020-03-01,Connecticut,Connecticut,0
2020-03-02,Connecticut,Connecticut,0
2020-03-03,Connecticut,Connecticut,0
2020-03-04,Connecticut,Connecticut,0
2020-03-05,Connecticut,Connecticut,0
2020-03-06,Connecticut,Connecticut,0
2020-03-07,Connecticut,Connecticut,0
2020-03-08,Connecticut,Connecticut,0
2020-03-09,Connecticut,Connecticut,0
2020-03-10,Connecticut,Connecticut,2
2020-03-11,Connecticut,Connecticut,3
2020-03-12,Connecticut,Connecticut,5
2020-01-22,Delaware,Delaware,0
2020-01-23,Delaware,Delaware,0
2020-01-24,Delaware,Delaware,0
2020-01-25,Delaware,Delaware,0
2020-01-26,Delaware,Delaware,0
2020-01-27,Delaware,Delaware,0
2020-01-28,Delaware,Delaware,0
2020-01-29,Delaware,Delaware,0
2020-01-30,Delaware,Delaware,0
2020-01-31,Delaware,Delaware,0
2020-02-01,Delaware,Delaware,0
2020-02-02,Delaware,Delaware,0
2020-02-03,Delaware,Delaware,0
2020-02-04,Delaware,Delaware,0
2020-02-05,Delaware,Delaware,0
2020-02-06,Delaware,Delaware,0
2020-02-07,Delaware,Delaware,0
2020-02-08,Delaware,Delaware,0
2020-02-09,Delaware,Delaware,0
2020-02-10,Delaware,Delaware,0
2020-02-11,Delaware,Delaware,0
2020-02-12,Delaware,Delaware,0
2020-02-13,Delaware,Delaware,0
2020-02-14,Delaware,Delaware,0
2020-02-15,Delaware,Delaware,0
2020-02-16,Delaware,Delaware,0
2020-02-17,Delaware,Delaware,0
2020-02-18,Delaware,Delaware,0
2020-02-19,Delaware,Delaware,0
2020-02-20,Delaware,Delaware,0
2020-02-21,Delaware,Delaware,0
2020-02-22,Delaware,Delaware,0
2020-02-23,Delaware,Delaware,0
