date,name,category,value
2020-01-22,Afghanistan,Afghanistan,0
2020-01-23,Afghanistan,Afghanistan,0
2020-01-24,Afghanistan,Afghanistan,0
2020-01-25,Afghanistan,Afghanistan,0
2020-01-26,Afghanistan,Afghanistan,0
2020-01-27,Afghanistan,Afghanistan,0
2020-01-28,Afghanistan,Afghanistan,0
2020-01-29,Afghanistan,Afghanistan,0
2020-01-30,Afghanistan,Afghanistan,0
2020-01-31,Afghanistan,Afghanistan,0
2020-02-01,Afghanistan,Afghanistan,0
2020-02-02,Afghanistan,Afghanistan,0
2020-02-03,Afghanistan,Afghanistan,0
2020-02-04,Afghanistan,Afghanistan,0
2020-02-05,Afghanistan,Afghanistan,0
2020-02-06,Afghanistan,Afghanistan,0
2020-02-07,Afghanistan,Afghanistan,0
2020-02-08,Afghanistan,Afghanistan,0
2020-02-09,Afghanistan,Afghanistan,0
2020-02-10,Afghanistan,Afghanistan,0
2020-02-11,Afghanistan,Afghanistan,0
2020-02-12,Afghanistan,Afghanistan,0
2020-02-13,Afghanistan,Afghanistan,0
2020-02-14,Afghanistan,Afghanistan,0
2020-02-15,Afghanistan,Afghanistan,0
2020-02-16,Afghanistan,Afghanistan,0
2020-02-17,Afghanistan,Afghanistan,0
2020-02-18,Afghanistan,Afghanistan,0
2020-02-19,Afghanistan,Afghanistan,0
2020-02-20,Afghanistan,Afghanistan,0
2020-02-21,Afghanistan,Afghanistan,0
2020-02-22,Afghanistan,Afghanistan,0
2020-02-23,Afghanistan,Afghanistan,0
2020-02-24,Afghanistan,Afghanistan,1
2020-02-25,Afghanistan,Afghanistan,1
2020-02-26,Afghanistan,Afghanistan,1
2020-02-27,Afghanistan,Afghanistan,1
2020-02-28,Afghanistan,Afghanistan,1
2020-02-29,Afghanistan,Afghanistan,1
2020-03-01,Afghanistan,Afghanistan,1
2020-03-02,Afghanistan,Afghanistan,1
2020-03-03,Afghanistan,Afghanistan,1
2020-03-04,Afghanistan,Afghanistan,1
2020-03-05,Afghanistan,Afghanistan,1
2020-03-06,Afghanistan,Afghanistan,1
2020-03-07,Afghanistan,Afghanistan,1
2020-03-08,Afghanistan,Afghanistan,4
2020-03-09,Afghanistan,Afghanistan,4
2020-03-10,Afghanistan,Afghanistan,5
2020-03-11,Afghanistan,Afghanistan,7
2020-03-12,Afghanistan,Afghanistan,7
2020-01-22,Albania,Albania,0
2020-01-23,Albania,Albania,0
2020-01-24,Albania,Albania,0
2020-01-25,Albania,Albania,0
2020-01-26,Albania,Albania,0
2020-01-27,Albania,Albania,0
2020-01-28,Albania,Albania,0
2020-01-29,Albania,Albania,0
2020-01-30,Albania,Albania,0
2020-01-31,Albania,Albania,0
2020-02-01,Albania,Albania,0
2020-02-02,Albania,Albania,0
2020-02-03,Albania,Albania,0
2020-02-04,Albania,Albania,0
2020-02-05,Albania,Albania,0
2020-02-06,Albania,Albania,0
2020-02-07,Albania,Albania,0
2020-02-08,Albania,Albania,0
2020-02-09,Albania,Albania,0
2020-02-10,Albania,Albania,0
2020-02-11,Albania,Albania,0
2020-02-12,Albania,Albania,0
2020-02-13,Albania,Albania,0
2020-02-14,Albania,Albania,0
2020-02-15,Albania,Albania,0
2020-02-16,Albania,Albania,0
2020-02-17,Albania,Albania,0
2020-02-18,Albania,Albania,0
2020-02-19,Albania,Albania,0
2020-02-20,Albania,Albania,0
2020-02-21,Albania,Albania,0
2020-02-22,Albania,Albania,0
2020-02-23,Albania,Albania,0
2020-02-24,Albania,Albania,0
2020-02-25,Albania,Albania,0
2020-02-26,Albania,Albania,0
2020-02-27,Albania,Albania,0
2020-02-28,Albania,Albania,0
2020-02-29,Albania,Albania,0
2020-03-01,Albania,Albania,0
2020-03-02,Albania,Albania,0
2020-03-03,Albania,Albania,0
2020-03-04,Albania,Albania,0
2020-03-05,Albania,Albania,0
2020-03-06,Albania,Albania,0
2020-03-07,Albania,Albania,0
2020-03-08,Albania,Albania,0
2020-03-09,Albania,Albania,2
2020-03-10,Albania,Albania,10
2020-03-11,Albania,Albania,12
2020-03-12,Albania,Albania,23
2020-01-22,Algeria,Algeria,0
2020-01-23,Algeria,Algeria,0
2020-01-24,Algeria,Algeria,0
2020-01-25,Algeria,Algeria,0
2020-01-26,Algeria,Algeria,0
2020-01-27,Algeria,Algeria,0
2020-01-28,Algeria,Algeria,0
2020-01-29,Algeria,Algeria,0
2020-01-30,Algeria,Algeria,0
2020-01-31,Algeria,Algeria,0
2020-02-01,Algeria,Algeria,0
2020-02-02,Algeria,Algeria,0
2020-02-03,Algeria,Algeria,0
2020-02-04,Algeria,Algeria,0
2020-02-05,Algeria,Algeria,0
2020-02-06,Algeria,Algeria,0
2020-02-07,Algeria,Algeria,0
2020-02-08,Algeria,Algeria,0
2020-02-09,Algeria,Algeria,0
2020-02-10,Algeria,Algeria,0
2020-02-11,Algeria,Algeria,0
2020-02-12,Algeria,Algeria,0
2020-02-13,Algeria,Algeria,0
2020-02-14,Algeria,Algeria,0
2020-02-15,Algeria,Algeria,0
2020-02-16,Algeria,Algeria,0
2020-02-17,Algeria,Algeria,0
2020-02-18,Algeria,Algeria,0
2020-02-19,Algeria,Algeria,0
2020-02-20,Algeria,Algeria,0
2020-02-21,Algeria,Algeria,0
2020-02-22,Algeria,Algeria,0
2020-02-23,Algeria,Algeria,0
2020-02-24,Algeria,Algeria,0
2020-02-25,Algeria,Algeria,1
2020-02-26,Algeria,Algeria,1
2020-02-27,Algeria,Algeria,1
2020-02-28,Algeria,Algeria,1
2020-02-29,Algeria,Algeria,1
2020-03-01,Algeria,Algeria,1
2020-03-02,Algeria,Algeria,3
2020-03-03,Algeria,Algeria,5
2020-03-04,Algeria,Algeria,12
2020-03-05,Algeria,Algeria,12
2020-03-06,Algeria,Algeria,17
2020-03-07,Algeria,Algeria,17
2020-03-08,Algeria,Algeria,19
2020-03-09,Algeria,Algeria,20
2020-03-10,Algeria,Algeria,20
2020-03-11,Algeria,Algeria,20
2020-03-12,Algeria,Algeria,24
2020-01-22,Andorra,Andorra,0
2020-01-23,Andorra,Andorra,0
2020-01-24,Andorra,Andorra,0
2020-01-25,Andorra,Andorra,0
2020-01-26,Andorra,Andorra,0
2020-01-27,Andorra,Andorra,0
